#,Program:featureCounts
Geneid,SRR17446276.bam
AT1G21060,362
AT1G11330,383
AT1G77600,475
AT1G68790,1189
AT1G22860,623
AT1G53200,172
AT1G35250,60
AT1G60986,0
AT1G52700,84
AT1G03980,12
AT1G19990,126
AT1G58936,0
AT1G24320,89
AT1G62422,227
AT1G53282,0
AT1G67890,696
AT1G62410,0
AT1G13530,75
AT1G18260,1565
AT1G76210,1
AT1G34430,1958
AT1G14460,290
AT1G61350,369
AT1G42440,792
AT1G12064,1
AT1G06570,1391
AT1G55310,1110
AT1G63740,309
AT1G09870,1270
AT1G17710,2
AT1G27200,1055
AT1G62120,88
AT1G04770,191
AT1G67920,109
AT1G09410,23
AT1G10540,17
AT1G63615,1
AT1G49240,9220
AT1G09240,13
AT1G67810,115
AT1G70850,3602
AT1G56360,0
AT1G18835,13
AT1G65920,200
AT1G11915,18
AT1G28440,2131
AT1G01650,1016
AT1G16510,36
AT1G25025,0
AT1G53023,2
AT1G33440,260
AT1G74720,626
AT1G72290,0
AT1G53230,45
AT1G01970,662
AT1G12860,1173
AT1G11400,518
AT1G53705,0
AT1G75560,513
AT1G56225,0
AT1G27290,2026
AT1G16740,405
AT1G64060,650
AT1G15470,272
AT1G01800,1053
AT1G27260,0
AT1G30560,2
AT1G41830,2208
AT1G31490,1
AT1G34490,1
AT1G08440,3
AT1G04440,2054
AT1G49520,157
AT1G44608,33
AT1G54370,750
AT1G12600,5
AT1G74920,4275
AT1G08150,0
AT1G36100,0
AT1G77080,675
AT1G15610,0
AT1G56050,769
AT1G55365,0
AT1G15130,2146
AT1G26220,0
AT1G48720,1
AT1G09932,259
AT1G49420,0
AT1G15670,320
AT1G78895,278
AT1G15460,63
AT1G22530,2122
AT1G05780,160
AT1G17840,2171
AT1G18080,5432
AT1G66970,2319
AT1G47265,1
AT1G25280,1471
AT1G48000,4
AT1G53330,38
AT1G62700,28
AT1G20135,0
AT1G64650,1992
AT1G61562,0
AT1G23210,11
AT1G49320,150
AT1G66400,36
AT1G58280,171
AT1G01060,84
AT1G53010,0
AT1G60320,0
AT1G65300,5
AT1G24280,635
AT1G71696,406
AT1G09690,3036
AT1G14780,153
AT1G03120,13
AT1G31000,0
AT1G26665,552
AT1G51380,19
AT1G37150,4
AT1G05310,46
AT1G43130,769
AT1G04110,65
AT1G13620,14
AT1G24440,386
AT1G01440,458
AT1G66200,8975
AT1G09900,299
AT1G14455,2
AT1G01630,1613
AT1G20440,30240
AT1G77460,427
AT1G65040,609
AT1G71430,58
AT1G18790,0
AT1G14830,2524
AT1G11990,2
AT1G77750,317
AT1G52620,81
AT1G52930,339
AT1G21430,0
AT1G48060,2
AT1G58270,1693
AT1G64790,1783
AT1G59885,0
AT1G34410,0
AT1G01550,4823
AT1G69270,94
AT1G23100,50
AT1G70940,3964
AT1G06810,0
AT1G32220,1960
AT1G03650,54
AT1G17330,373
AT1G16090,41
AT1G32160,1412
AT1G65090,23
AT1G78520,18
AT1G68325,0
AT1G55870,314
AT1G50900,1241
AT1G10590,2043
AT1G73050,6
AT1G10200,2369
AT1G74300,72
AT1G07250,2496
AT1G10370,894
AT1G09575,164
AT1G52618,55
AT1G05610,11
AT1G09150,783
AT1G18690,285
AT1G57777,0
AT1G71730,614
AT1G24390,0
AT1G61688,0
